target,model,candidate_set,actual_P_vs_U,actual_AP,mean_replacement_P_vs_U,mean_replacement_AP,mean_replacement_rank_spearman,query_specific_P_vs_U_lift,query_specific_AP_lift,replacement_consensus_P_vs_U,replacement_consensus_AP,replacement_consensus_recovered_P_at_10
CDK2,tuna_retrained,context,0.9044444444444445,0.15674603174603174,0.382020202020202,0.022110800549309643,0.44260566340498797,0.5224242424242425,0.1346352311967221,0.3422222222222222,0.019130942803509174,0.0
CDK2,tuna_retrained,background,0.9311111111111111,0.16249999999999998,0.46141414141414133,0.028578528636929314,0.37675344169855846,0.4696969696969698,0.13392147136307067,0.45111111111111113,0.022733949756689048,0.0
CDK2,tuna_retrained,low_plausibility,0.98,0.42063492063492064,0.5426262626262627,0.06241831401773064,0.4660536245816291,0.4373737373737373,0.35821660661719,0.6077777777777778,0.03134168157423971,0.0
CDK2,tuna_retrained,context_background,0.9177777777777778,0.08367190720131897,0.4217171717171716,0.012228165615174202,0.39442009293296,0.4960606060606062,0.07144374158614476,0.3877777777777778,0.010353764146697184,0.0
CDK2,tuna_retrained,all_U,0.9385185185185185,0.07526743688489516,0.46202020202020205,0.00962484912064832,0.40270383887494976,0.4764983164983165,0.06564258776424685,0.45925925925925926,0.00782353291477379,0.0
HIF1A,tuna_retrained,context,0.6377777777777778,0.08678809774700186,0.5604040404040405,0.04342589189048016,0.4272058975830436,0.07737373737373732,0.043362205856521695,0.63,0.03661218670152559,0.0
HIF1A,tuna_retrained,background,0.7577777777777778,0.11321070234113711,0.6032323232323232,0.045645561821662656,0.3849173858321057,0.15454545454545454,0.06756514051947446,0.7411111111111112,0.05424528301886792,0.0
HIF1A,tuna_retrained,low_plausibility,0.92,0.415,0.6597979797979797,0.1338891356916586,0.4964809325208987,0.2602020202020203,0.28111086430834137,0.7733333333333333,0.0671255736337088,1.0
HIF1A,tuna_retrained,context_background,0.6977777777777778,0.053900620077090663,0.5818181818181819,0.021672968313059832,0.3984561840638578,0.11595959595959593,0.032227651764030835,0.6944444444444444,0.022833417261569754,0.0
HIF1A,tuna_retrained,all_U,0.7718518518518519,0.0524700109051254,0.6078114478114478,0.017603732704567734,0.4030367473025299,0.1640404040404041,0.03486627820055767,0.7292592592592593,0.01817244180329621,0.0
CTNNB1,tuna_retrained,context,0.6022222222222222,0.039266579018052784,0.507070707070707,0.04008450211883343,0.38537337510036634,0.09515151515151521,-0.0008179231007806459,0.5244444444444445,0.03638442131819615,0.0
CTNNB1,tuna_retrained,background,0.6311111111111111,0.06782106782106781,0.49373737373737375,0.041684895402673665,0.3148272358095043,0.13737373737373731,0.026136172418394145,0.5177777777777778,0.039533492822966504,0.0
CTNNB1,tuna_retrained,low_plausibility,0.8244444444444444,0.20686868686868684,0.544848484848485,0.10809513602644144,0.4869444515518256,0.2795959595959594,0.0987735508422454,0.5622222222222222,0.037135915473062685,0.0
CTNNB1,tuna_retrained,context_background,0.6166666666666667,0.02459453576609104,0.5004040404040404,0.021004746653618428,0.35196680176905804,0.11626262626262629,0.0035897891124726106,0.5233333333333333,0.01890798424633011,0.0
CTNNB1,tuna_retrained,all_U,0.6859259259259259,0.022058823529411763,0.5152188552188552,0.01634321386289923,0.37749957981576954,0.1707070707070707,0.005715609666512533,0.5377777777777778,0.01287059033054029,0.0
TNFRSF1A,tuna_retrained,context,0.5,0.09852890865549092,0.4074747474747475,0.04269670098210744,-0.07024427865970223,0.09252525252525251,0.05583220767338348,0.35777777777777775,0.020018870018870018,0.0
TNFRSF1A,tuna_retrained,background,0.5622222222222222,0.1291101760947483,0.36262626262626263,0.034010169000613134,-0.02470779525381267,0.19959595959595955,0.09510000709413519,0.26,0.01712095721312311,0.0
TNFRSF1A,tuna_retrained,low_plausibility,0.7133333333333334,0.3834745762711864,0.27454545454545454,0.08895236581161738,0.44746406609620776,0.43878787878787884,0.29452221045956906,0.13444444444444445,0.014849137692348493,0.0
TNFRSF1A,tuna_retrained,context_background,0.5311111111111111,0.06388528752969355,0.38505050505050503,0.019793148852505785,-0.061345338089054624,0.14606060606060606,0.04409213867718777,0.30722222222222223,0.009289507293137055,0.0
TNFRSF1A,tuna_retrained,all_U,0.5918518518518519,0.06242541684457144,0.3482154882154882,0.01577936854564362,0.006517004018489203,0.24363636363636365,0.04664604829892782,0.2362962962962963,0.0056169208303714375,0.0
BECN1,tuna_retrained,context,0.8622222222222222,0.5158730158730158,0.5068686868686869,0.05255163080812133,0.339582244381006,0.3553535353535353,0.4633213850648945,0.52,0.03231100884709952,0.0
BECN1,tuna_retrained,background,0.8244444444444444,0.6788617886178862,0.4711111111111111,0.054797065989184705,0.3258480425663087,0.35333333333333333,0.6240647226287015,0.45111111111111113,0.02448153914163255,0.0
BECN1,tuna_retrained,low_plausibility,0.8666666666666667,0.6825396825396826,0.5022222222222222,0.08278636326635785,0.42931435297041814,0.36444444444444446,0.5997533192733246,0.5311111111111111,0.028493117677178395,0.0
BECN1,tuna_retrained,context_background,0.8433333333333334,0.5070422535211268,0.48898989898989903,0.02942685184211645,0.334378340239043,0.35434343434343435,0.4776154016790103,0.4777777777777778,0.013490401396160558,0.0
BECN1,tuna_retrained,all_U,0.8511111111111112,0.504950495049505,0.49340067340067334,0.024183328920887214,0.36249905798865695,0.3577104377104378,0.48076716612861775,0.4962962962962963,0.009208669827593557,0.0
