target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
TP53,low_plausibility,ipin_baseline,average_precision,0.7777777777777777,0.05921052631578947,0.7185672514619882,0.05988060428849901
EGFR,low_plausibility,ipin_baseline,average_precision,1.0,0.03313248596267464,0.9668675140373254,0.08057229283644378
BCL2,low_plausibility,ipin_baseline,average_precision,0.07476896625832795,0.28609625668449196,-0.211327290426164,-0.017610607535513665
KEAP1,low_plausibility,ipin_baseline,average_precision,0.3711229946524064,0.1382173382173382,0.2329056564350682,0.01940880470292235
BRCA1,low_plausibility,ipin_baseline,average_precision,1.0,0.24189095928226362,0.7581090407177364,0.0631757533931447
KRAS,low_plausibility,ipin_baseline,average_precision,0.09120370370370369,0.17965367965367965,-0.08844997594997596,-0.007370831329164663
CDK2,low_plausibility,ipin_baseline,average_precision,0.11243386243386243,0.392258064516129,-0.27982420208226655,-0.023318683506855547
HIF1A,low_plausibility,ipin_baseline,average_precision,0.5142857142857142,0.49107142857142855,0.023214285714285687,0.0019345238095238072
CTNNB1,low_plausibility,ipin_baseline,average_precision,0.05394938101373599,0.44345238095238093,-0.38950299993864496,-0.032458583328220415
TNFRSF1A,low_plausibility,ipin_baseline,average_precision,0.4444444444444444,0.07579198695550896,0.3686524574889355,0.03072103812407796
BECN1,low_plausibility,ipin_baseline,average_precision,0.678030303030303,0.5694444444444444,0.10858585858585856,0.009048821548821548
ERN1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.985,0.48875,0.49624999999999997,0.041354166666666664
TP53,low_plausibility,ipin_optimized,P_vs_U_concordance,0.9866666666666667,0.6555555555555556,0.33111111111111113,0.027592592592592596
EGFR,low_plausibility,ipin_optimized,P_vs_U_concordance,1.0,0.6888888888888889,0.3111111111111111,0.025925925925925925
BCL2,low_plausibility,ipin_optimized,P_vs_U_concordance,0.5644444444444444,0.9911111111111112,-0.42666666666666675,-0.03555555555555556
KEAP1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8133333333333334,0.7377777777777778,0.0755555555555556,0.0062962962962963
BRCA1,low_plausibility,ipin_optimized,P_vs_U_concordance,1.0,0.9888888888888889,0.011111111111111072,0.0009259259259259226
KRAS,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8422222222222222,0.9977777777777778,-0.15555555555555556,-0.012962962962962963
CDK2,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8844444444444445,0.98,-0.0955555555555555,-0.007962962962962958
