omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
CDK2,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8768181818181818,0.8024873737373738,0.07433080808080811,11
HIF1A,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8705555555555555,0.795820707070707,0.0747348484848485,11
CTNNB1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8927777777777778,0.7972348484848485,0.09554292929292933,11
TNFRSF1A,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8681313131313132,0.8194570707070706,0.048674242424242446,11
BECN1,low_plausibility,ipin_baseline,P_vs_U_concordance,0.8834848484848485,0.8063257575757574,0.07715909090909093,11
ERN1,low_plausibility,ipin_baseline,average_precision,0.46527428614547967,0.26456541377782994,0.2007088723676497,11
TP53,low_plausibility,ipin_baseline,average_precision,0.44728186190305536,0.26522174084230915,0.18206012106074623,11
EGFR,low_plausibility,ipin_baseline,average_precision,0.42707984170103513,0.26759247178350143,0.15948736991753376,11
BCL2,low_plausibility,ipin_baseline,average_precision,0.511191753859369,0.2445957653542453,0.2665959885051237,11
KEAP1,low_plausibility,ipin_baseline,average_precision,0.4842504785508164,0.2580393033967139,0.2262111751541026,11
BRCA1,low_plausibility,ipin_baseline,average_precision,0.42707984170103513,0.24861442875444784,0.17846541294658733,11
KRAS,low_plausibility,ipin_baseline,average_precision,0.5096976868188803,0.2542723632661374,0.255425323552743,11
CDK2,low_plausibility,ipin_baseline,average_precision,0.5077676723888659,0.23494469191500553,0.27282298047386033,11
HIF1A,low_plausibility,ipin_baseline,average_precision,0.4712356858568793,0.2259616588190692,0.24527402703781015,11
