snapshot,source_key,value
partner_support.json,folds/0/selected_quartets,2000.0
partner_support.json,folds/0/zero_positive_anchors,2892.0
partner_support.json,folds/1/anchor_components,631.0
partner_support.json,folds/1/candidate_panel_size_quantiles/0,223.0
partner_support.json,folds/1/candidate_panel_size_quantiles/1,260.0
partner_support.json,folds/1/candidate_panel_size_quantiles/2,271.0
partner_support.json,folds/1/candidate_panel_size_quantiles/3,281.0
partner_support.json,folds/1/candidate_panel_size_quantiles/4,320.0
partner_support.json,folds/1/cells/p/C1,8123.0
partner_support.json,folds/1/cells/p/C2,7035.0
partner_support.json,folds/1/cells/p/C3,1641.0
partner_support.json,folds/1/cells/u/C1,942115.0
partner_support.json,folds/1/cells/u/C2,861662.0
