row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
125,0.39506086707115173,-14.5640869140625,-16.234256744384766,-14.626587867736816,-15.141643842061361
126,0.6862819194793701,-8.930551528930664,-5.800784587860107,-8.884597778320312,-7.871977965037028
127,0.5408694744110107,-9.04450798034668,-13.656862258911133,-11.390013694763184,-11.363794644673666
128,0.501832127571106,-7.667651176452637,-10.383796691894531,-8.72634220123291,-8.92593002319336
129,0.687480092048645,-7.341434001922607,-7.58662748336792,-11.966358184814453,-8.96480655670166
130,0.6222084164619446,-8.198958396911621,-9.371726036071777,-8.296398162841797,-8.622360865275065
131,0.4686807692050934,-11.806894302368164,-9.690095901489258,-10.319672584533691,-10.605554262797037
132,0.43283432722091675,-13.88634204864502,-11.915301322937012,-13.129976272583008,-12.977206548055014
133,0.675690770149231,-8.545504570007324,-6.415574073791504,-11.568745613098145,-8.84327475229899
134,0.7532378435134888,-9.57016372680664,-12.794158935546875,-13.3657865524292,-11.910036404927572
135,0.23210261762142181,-14.38318920135498,-13.143392562866211,-14.357683181762695,-13.961421648661295
136,0.6222413778305054,-8.227753639221191,-9.44893741607666,-10.1925630569458,-9.289751370747885
137,0.7555016279220581,-9.42304801940918,-8.766100883483887,-10.499590873718262,-9.562913258870443
138,0.6153217554092407,-12.393112182617188,-8.471552848815918,-12.830265998840332,-11.231643676757812
139,0.7339047789573669,-11.57248592376709,-7.915217399597168,-9.20363712310791,-9.563780148824057
140,0.5855210423469543,-11.331223487854004,-10.477715492248535,-8.974540710449219,-10.261159896850586
141,0.4091727137565613,-10.174166679382324,-8.195802688598633,-7.574390411376953,-8.648119926452637
142,0.345595121383667,-5.469215393066406,-8.846763610839844,-6.709367752075195,-7.0084489186604815
143,0.5830546021461487,-10.857234001159668,-6.2027082443237305,-11.328007698059082,-9.462649981180826
144,0.638454794883728,-9.686217308044434,-8.771462440490723,-7.885465621948242,-8.781048456827799
145,0.6127834916114807,-12.029661178588867,-10.299755096435547,-11.132118225097656,-11.153844833374023
146,0.4769432842731476,-12.272789001464844,-11.232895851135254,-11.706979751586914,-11.737554868062338
147,0.6908315420150757,-8.108596801757812,-8.183612823486328,-10.882489204406738,-9.058232943216959
148,0.21194173395633698,-11.967251777648926,-16.795089721679688,-13.087200164794922,-13.949847221374512
149,0.5087694525718689,-9.90395450592041,-10.042941093444824,-10.794929504394531,-10.247275034586588
150,0.6487762928009033,-9.542489051818848,-14.541504859924316,-9.255414962768555,-11.113136291503906
151,0.5561347007751465,-7.73093318939209,-8.14418888092041,-12.696881294250488,-9.524001121520996
152,0.6555976271629333,-12.085472106933594,-8.080108642578125,-11.160022735595703,-10.44186782836914
153,0.6626977324485779,-12.170730590820312,-9.871393203735352,-8.360376358032227,-10.134166717529297
154,0.6867765784263611,-7.7744460105896,-10.62796401977539,-11.039080619812012,-9.813830216725668
155,0.2504912316799164,-12.736809730529785,-7.574676513671875,-9.569775581359863,-9.960420608520508
156,0.22327464818954468,-12.318014144897461,-11.478812217712402,-13.960412979125977,-12.58574644724528
157,0.6754903793334961,-9.406311988830566,-8.438920974731445,-8.555787086486816,-8.800340016682943
158,0.17374952137470245,-8.070845603942871,-9.916105270385742,-11.686881065368652,-9.891277313232422
159,0.6986674666404724,-6.926769733428955,-5.75622034072876,-11.725324630737305,-8.136104901631674
160,0.19613447785377502,-11.992416381835938,-9.432931900024414,-10.711836814880371,-10.712395032246908
161,0.35947704315185547,-11.712137222290039,-9.971498489379883,-11.72927188873291,-11.137635866800943
162,0.4285692870616913,-9.871835708618164,-10.183927536010742,-11.422456741333008,-10.492739995320639
163,0.5074355602264404,-9.130873680114746,-4.887500762939453,-12.156949996948242,-8.72510814666748
164,0.7417275905609131,-8.630417823791504,-7.84224796295166,-9.207998275756836,-8.560221354166666
165,0.4122723639011383,-14.864264488220215,-15.064809799194336,-12.227938652038574,-14.052337646484375
