row_index,ipin_baseline_score,ipin_optimized_score
525,-1.0002282063166301,-0.03941690921783447
526,-2.4829042752583823,-1.7099856932957966
527,-0.7913763125737509,0.42840083440144855
528,-2.157897154490153,-1.4238214492797852
529,-1.613515297571818,-1.3590673208236694
530,0.19672734290361404,0.9864996075630188
531,-2.4169391791025796,-2.622861305872599
532,-2.110137184460958,-1.508605380853017
533,-2.6531389554341636,-1.4570969740549724
534,-1.5060664812723796,-1.3323413133621216
535,-2.307232141494751,-1.7233322461446126
536,-0.2923918416102727,1.6020015478134155
537,-1.4114963610967,-1.313214103380839
538,-0.6802005767822266,0.3056369622548421
539,-1.841640035311381,-1.185450792312622
540,-1.3119685649871826,-1.2000302871068318
541,-1.592513124148051,-0.5133190155029297
542,-2.166084408760071,-2.3113701343536377
543,-2.1031247774759927,-2.1033398310343423
544,-2.4718425273895264,-1.5128909349441528
545,-1.3773298263549805,-0.6485379735628763
546,-0.3927351584037145,0.414838711420695
547,-2.4062158266703286,-1.3776361147562664
548,-0.899375299612681,0.0694220761458079
549,-0.12927512948711714,1.2476694583892822
550,-2.295546372731527,-1.9974340597788494
551,-0.5319104592005411,1.0322485367457073
552,-1.2966585159301758,-1.1533987720807393
553,0.22331742693980536,1.4994715849558513
554,-2.3737053076426187,-1.7045788764953613
555,-1.3318123817443848,0.25435271859169006
556,-2.1647008260091147,-0.9006949265797933
557,-1.9253274997075398,-0.2599282016356786
558,-2.0924402475357056,-2.460029204686483
559,-2.5452420711517334,-3.5747286478678384
560,-2.167160908381144,-0.5695058504740397
561,-0.2577631125847499,0.7029133637746176
562,-2.2047373056411743,-1.2298529942830403
563,-1.6602561871210735,-1.6339772939682007
564,-2.391619602839152,-2.781169295310974
565,-2.78430438041687,-3.964491923650106
566,-2.3066070079803467,-3.0815633138020835
567,-1.7941832939783733,-1.0660184423128765
568,-2.3157522678375244,-1.792904516061147
569,-2.234250624974569,-0.8490360379219055
570,-1.2106037537256877,-1.494901140530904
571,-2.5118955771128335,-1.7794564167658489
572,-1.9088072776794434,-1.6975069840749104
573,-0.9728277524312338,-0.7972037494182587
574,-1.0957981149355571,-1.3634278923273087
575,-4.8490495681762695,-3.4027241865793862
576,-4.932989438374837,-5.274107615152995
577,-2.030884782473246,-1.6675368150075276
578,-1.744096080462138,-2.0586666663487754
579,-3.3579041163126626,-1.8166476090749104
580,-1.7222361167271931,-0.998710552851359
581,-3.7749847571055093,-3.8010013898213706
582,-3.064774433771769,-1.9602065881093342
583,-1.0076433221499126,0.6713156302769979
584,-3.3512776692708335,-3.043396472930908
585,-2.4739267826080322,-3.1956162452697754
586,-4.690532843271892,-4.063597122828166
587,-0.031214396158854168,0.3182975500822067
588,-2.412334442138672,-2.8258119424184165
589,-2.8885289827982583,-1.9805233478546143
590,-2.439022938410441,-1.7612902720769246
591,-1.5946012735366821,-0.7791042526563009
592,-0.6503374576568604,-0.6107179919878641
593,-1.7409809827804565,-1.981407364209493
594,-0.03549342229962349,0.4724513093630473
595,-1.7431869506835938,-1.6372852722803752
596,-3.298747460047404,-4.764827569325765
597,-1.305848519007365,-0.976712723573049
598,-2.732398430506388,-2.893634875615438
599,-5.186248143513997,-4.073660055796306
600,-1.6986260414123535,-1.4537265300750732
601,-1.1674645741780598,-0.1784039338429769
602,-2.783413807551066,-2.2349549531936646
603,-2.2740941842397056,-1.6657446026802063
604,-4.374500115712483,-3.0775981744130454
605,-2.179552952448527,-1.6804282267888386
606,-4.72938346862793,-4.2670994599660235
607,-2.3830647468566895,-2.5191497802734375
608,-0.7260690530141195,-0.6041456361611685
609,-1.857600450515747,-2.0360097090403237
610,-1.5053947766621907,-0.6985968252023061
611,-1.6265071233113606,-0.715942540516456
612,-1.8471297423044841,-1.1995764374732971
613,-1.8792091608047485,-1.0823708077271779
614,-1.3570074637730916,-1.6949994564056396
615,-1.4399886926015217,-0.32292528947194415
616,-1.2181785106658936,-1.1240564982096355
617,-1.9907463391621907,-1.6836711565653484
618,-1.367918570836385,-2.4573177496592202
619,-1.3155099948247273,-0.9745798707008362
620,-1.344334880510966,-1.8778055906295776
621,-1.3041977485020955,-0.4835522472858429
622,-1.6083943049112956,-1.781245191891988
623,-2.0795948108037314,-1.593335489432017
624,-2.6633170445760093,-2.9480682611465454
625,-1.8157293399175007,-0.37748636802037555
626,-0.8811406294504801,-0.37369633714358014
627,-1.0748905340830486,0.017762025197347004
628,-1.4290428161621094,-0.6195136258999506
