target,model,group,n,mean,sd,q25,median,q75,min,max
CDK2,tuna_original,P,3,0.48862913250923157,0.02824204228679495,0.47234581410884857,0.47382012009620667,0.4975079447031021,0.4708715081214905,0.5211957693099976
CDK2,tuna_original,context,150,0.5002660177151362,0.08151956901228882,0.4588484391570091,0.4985136389732361,0.5439233630895615,0.20581531524658203,0.7403973340988159
CDK2,tuna_original,background,150,0.41937499980131787,0.11868082365065784,0.32163816690444946,0.4386100172996521,0.5086552500724792,0.13637739419937134,0.7082111835479736
CDK2,tuna_original,low_plausibility,150,0.3978649393717448,0.07240399748684742,0.35380101948976517,0.3980962783098221,0.44930532574653625,0.21951021254062653,0.5675638914108276
HIF1A,ipin_baseline,P,3,-1.2537980145878262,0.5158878059042727,-1.5428507526715598,-1.4184089104334514,-1.0470507244269054,-1.667292594909668,-0.6756925384203593
HIF1A,ipin_baseline,context,150,-1.7158251062780618,0.7966786158900433,-2.1959061225255327,-1.6814549763997397,-1.114293525616328,-4.258676052093506,-0.08015916869044304
HIF1A,ipin_baseline,background,150,-2.0791605026740583,0.9822213062644621,-2.6162445346514382,-1.9203818639119468,-1.4203247129917145,-6.1597011884053545,0.11712962885697682
HIF1A,ipin_baseline,low_plausibility,150,-2.724809306462606,0.946154903358921,-3.1706188519795737,-2.5764983892440796,-2.0701963901519775,-5.682382424672444,-0.9099133809407552
HIF1A,ipin_optimized,P,3,-1.27096246348487,1.0675597990819643,-1.7841702699661255,-1.1929535865783691,-0.7187502185503641,-2.375386953353882,-0.24454685052235922
HIF1A,ipin_optimized,context,150,-1.6617300196157563,0.8487622030274143,-2.1629057824611664,-1.5619238217671714,-1.0660923520723977,-4.283023993174235,0.37029455105463666
HIF1A,ipin_optimized,background,150,-1.9185858600835006,0.8839383683036546,-2.3591069281101227,-1.8608259359995523,-1.4298448065916696,-5.811041355133057,0.8275506297747294
HIF1A,ipin_optimized,low_plausibility,150,-2.2274399945305454,0.9365332916484111,-2.781462470690409,-2.04889444510142,-1.4653659512599309,-5.050735155741374,-0.5650606950124105
HIF1A,tuna_retrained,P,3,-7.7965784602695045,1.2672727959454964,-8.516401529312134,-8.289367198944092,-7.323149760564169,-8.743435859680176,-6.356932322184245
HIF1A,tuna_retrained,context,150,-8.42162844022115,1.1618771254613043,-9.176152149836222,-8.435452620188395,-7.616548458735148,-11.073245684305826,-5.717249234517415
HIF1A,tuna_retrained,background,150,-9.273957534896002,1.6424336364180256,-10.46541945139567,-9.035180171330769,-8.191906770070394,-13.446873664855957,-4.360779841740926
