target,model,K,P,panel_size,recovered_P,recall,target_success
EGFR,ipin_baseline,40,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,41,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,42,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,43,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,44,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,45,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,46,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,47,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,48,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,49,3,303,0.0,0.0,0.0
EGFR,ipin_baseline,50,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,1,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,2,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,3,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,4,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,5,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,6,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,7,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,8,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,9,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,10,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,11,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,12,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,13,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,14,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,15,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,16,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,17,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,18,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,19,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,20,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,21,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,22,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,23,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,24,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,25,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,26,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,27,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,28,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,29,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,30,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,31,3,303,0.0,0.0,0.0
EGFR,ipin_optimized,32,3,303,0.0,0.0,0.0
