row_index,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
263,-8.555831909179688,-8.630043983459473,-10.256329536437988,-9.147401809692383
264,-12.871606826782227,-14.177189826965332,-10.412418365478516,-12.487071673075357
265,-15.48655891418457,-11.41917610168457,-9.917654991149902,-12.274463335673014
266,-7.553396224975586,-9.352837562561035,-9.435790061950684,-8.780674616495768
267,-10.173532485961914,-13.347024917602539,-4.041897296905518,-9.187484900156656
268,-10.079717636108398,-10.063641548156738,-10.623506546020508,-10.255621910095215
269,-9.687384605407715,-13.030964851379395,-13.931267738342285,-12.216539065043131
270,-7.544753074645996,-6.85690975189209,-8.541824340820312,-7.647829055786133
271,-8.090447425842285,-10.623893737792969,-11.36292552947998,-10.025755564371744
272,-6.874700546264648,-6.181471347808838,-9.094029426574707,-7.3834004402160645
273,-13.639487266540527,-10.09532356262207,-8.658418655395508,-10.797743161519369
274,-14.620306968688965,-12.275978088378906,-10.284870147705078,-12.393718401590982
275,-8.077471733093262,-8.80642318725586,-9.510872840881348,-8.798255920410156
276,-11.394049644470215,-9.715795516967773,-12.322279930114746,-11.144041697184244
277,-11.076529502868652,-9.137552261352539,-13.421998023986816,-11.212026596069336
278,-6.041062355041504,-8.494827270507812,-10.23715877532959,-8.257682800292969
279,-8.379558563232422,-8.175162315368652,-10.024628639221191,-8.859783172607422
280,-13.189419746398926,-12.96750545501709,-8.831457138061523,-11.66279411315918
281,-9.140460968017578,-7.411746501922607,-13.40129280090332,-9.984500090281168
282,-9.109278678894043,-8.836057662963867,-10.76772689819336,-9.57102108001709
283,-4.936750888824463,-12.860705375671387,-10.720057487487793,-9.50583791732788
284,-13.043155670166016,-10.249165534973145,-11.749412536621094,-11.680577913920084
285,-13.15731430053711,-10.93075942993164,-13.594382286071777,-12.560818672180176
286,-12.001886367797852,-9.5250244140625,-7.869435787200928,-9.798782189687094
287,-13.450618743896484,-12.195820808410645,-10.2020845413208,-11.94950803120931
288,-9.49579906463623,-6.714239597320557,-9.931344985961914,-8.713794549306234
289,-6.477047920227051,-8.033523559570312,-11.092918395996094,-8.534496625264486
290,-12.367734909057617,-8.296229362487793,-10.39262580871582,-10.35219669342041
291,-10.86694049835205,-12.05961799621582,-12.68475341796875,-11.870437304178873
292,-14.19369125366211,-12.42022705078125,-13.95836067199707,-13.52409299214681
293,-15.508143424987793,-10.946471214294434,-15.746299743652344,-14.06697146097819
294,-6.0381269454956055,-6.401407241821289,-7.76840353012085,-6.735979239145915
295,-9.202625274658203,-8.881223678588867,-8.381510734558105,-8.821786562601725
296,-6.17058801651001,-8.394011497497559,-8.150440216064453,-7.571679910024007
297,-7.4356513023376465,-7.4997124671936035,-10.314164161682129,-8.416509310404459
298,-11.558182716369629,-11.63904094696045,-12.251424789428711,-11.816216150919596
299,-13.527695655822754,-9.818754196166992,-10.541707038879395,-11.29605229695638
300,-4.815364360809326,-3.0160558223724365,-11.152374267578125,-6.327931483586629
301,-7.246527671813965,-6.529032230377197,-11.538666725158691,-8.438075542449951
302,-9.572030067443848,-5.279082775115967,-9.340386390686035,-8.063833077748617
303,-8.904435157775879,-10.467901229858398,-11.748016357421875,-10.373450915018717
304,-8.328788757324219,-7.1050639152526855,-9.973159790039062,-8.469004154205322
305,-8.467462539672852,-7.685420513153076,-10.233430862426758,-8.795437971750895
306,-7.237475395202637,-6.469318866729736,-7.436153411865234,-7.047649224599202
307,-6.168680191040039,-6.653254508972168,-8.937621116638184,-7.253185272216797
308,-9.010894775390625,-8.48711109161377,-10.037035942077637,-9.17834726969401
309,-7.655653476715088,-8.820771217346191,-9.808171272277832,-8.761531988779703
310,-8.191397666931152,-9.69062328338623,-12.268893241882324,-10.050304730733236
311,-8.124053001403809,-9.407875061035156,-11.728516578674316,-9.75348154703776
312,-9.74862003326416,-7.779714107513428,-8.160737991333008,-8.563024044036865
