cohort,model,positive_subset,U_stratum,targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,ipin_baseline,exclude_prior_train_development_P,background,12,34,1850,0.6700925925925927,0.08061217023946698,0.12803353056798092,26.666666666666668,2.0,2.0,0.05555555555555555,0.03333333333333333,1.7000000000000002,0.04422677283143695,0.16666666666666666,6.0,5.0,0.1597222222222222,0.049999999999999996,2.5500000000000003,0.09352380053845581,0.4166666666666667,9.0,7.0,0.24305555555555558,0.0375,1.9125000000000003,0.1238201784352655,0.5833333333333334
all_twelve,ipin_optimized,exclude_prior_train_development_P,background,12,34,1850,0.7033333333333333,0.12557522890337366,0.20008160998425437,25.666666666666668,4.0,4.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.09575081466887685,0.3333333333333333,10.0,7.0,0.2708333333333333,0.08333333333333333,4.25,0.1676918493695562,0.5833333333333334,13.0,7.0,0.3541666666666667,0.054166666666666675,2.7624999999999997,0.1978370133159281,0.5833333333333334
all_twelve,tuna_retrained,exclude_prior_train_development_P,background,12,34,1850,0.732974537037037,0.11853092361685731,0.22484217171717172,18.416666666666668,4.0,4.0,0.10416666666666664,0.06666666666666667,3.4000000000000004,0.08848051020961716,0.3333333333333333,8.0,8.0,0.2152777777777778,0.06666666666666667,3.4000000000000004,0.14171285249486068,0.6666666666666666,18.0,10.0,0.4930555555555554,0.07500000000000001,3.8249999999999993,0.2392402924313476,0.8333333333333334
all_twelve,ipin_baseline,exclude_prior_train_development_P_and_homomers,all_U,12,33,3700,0.6167824074074074,0.04204790819234842,0.06914071910041987,72.0,2.0,2.0,0.05555555555555555,0.03333333333333333,3.3666666666666667,0.036395559125993814,0.16666666666666666,2.0,2.0,0.05555555555555555,0.016666666666666666,1.6833333333333333,0.036395559125993814,0.16666666666666666,5.0,4.0,0.13888888888888887,0.020833333333333332,2.1041666666666665,0.06543448544434395,0.3333333333333333
all_twelve,ipin_optimized,exclude_prior_train_development_P_and_homomers,all_U,12,33,3700,0.6634027777777778,0.083325369717381,0.15925484926519753,72.41666666666667,2.0,2.0,0.05555555555555555,0.03333333333333333,3.3666666666666667,0.06378005308238514,0.16666666666666666,4.0,3.0,0.1111111111111111,0.03333333333333333,3.3666666666666667,0.08858782098800301,0.25,9.0,6.0,0.25,0.0375,3.787499999999999,0.138495464083629,0.5
all_twelve,tuna_retrained,exclude_prior_train_development_P_and_homomers,all_U,12,33,3700,0.7016666666666667,0.05016687895374831,0.08252139344647526,47.5,1.0,1.0,0.027777777777777776,0.016666666666666666,1.6833333333333333,0.019553280250948185,0.08333333333333333,4.0,4.0,0.1111111111111111,0.03333333333333333,3.3666666666666667,0.05759231219336184,0.3333333333333333,6.0,6.0,0.16666666666666666,0.024999999999999998,2.525,0.07570174546176914,0.5
all_twelve,ipin_baseline,exclude_prior_train_development_P_and_homomers,context,12,33,1850,0.5769444444444446,0.08267818143595546,0.14682253568808187,40.25,2.0,2.0,0.05555555555555555,0.03333333333333333,1.7000000000000002,0.058659840752844555,0.16666666666666666,5.0,4.0,0.13888888888888887,0.041666666666666664,2.1250000000000004,0.09477193977783309,0.3333333333333333,8.0,6.0,0.2222222222222222,0.03333333333333333,1.7000000000000002,0.12372330019118333,0.5
all_twelve,ipin_optimized,exclude_prior_train_development_P_and_homomers,context,12,33,1850,0.6356944444444445,0.12798526554225967,0.22828520022956852,38.583333333333336,4.0,3.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.11018388259028443,0.25,9.0,6.0,0.25,0.075,3.8250000000000006,0.17200188936663544,0.5,10.0,6.0,0.2777777777777778,0.041666666666666664,2.1250000000000004,0.1825699741026682,0.5
all_twelve,tuna_retrained,exclude_prior_train_development_P_and_homomers,context,12,33,1850,0.6775462962962964,0.1024402056887595,0.1852903099393095,27.416666666666668,5.0,5.0,0.13888888888888887,0.08333333333333333,4.250000000000001,0.10304808367487976,0.4166666666666667,6.0,6.0,0.16666666666666666,0.049999999999999996,2.5500000000000003,0.11482033141319882,0.5,11.0,8.0,0.3055555555555556,0.04583333333333334,2.3375,0.16450458802613507,0.6666666666666666
all_twelve,ipin_baseline,exclude_prior_train_development_P_and_homomers,background,12,33,1850,0.6566203703703705,0.07693121966526917,0.11519949399976714,32.75,2.0,2.0,0.05555555555555555,0.03333333333333333,1.7000000000000002,0.04422677283143695,0.16666666666666666,5.0,4.0,0.13888888888888887,0.041666666666666664,2.1250000000000004,0.08193578557922451,0.3333333333333333,8.0,6.0,0.2222222222222222,0.03333333333333333,1.7000000000000002,0.11223216347603417,0.5
all_twelve,ipin_optimized,exclude_prior_train_development_P_and_homomers,background,12,33,1850,0.6911111111111111,0.12309937561937073,0.19152263083703994,34.833333333333336,4.0,4.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.09575081466887685,0.3333333333333333,9.0,6.0,0.25,0.075,3.8250000000000006,0.15789884063985393,0.5,12.0,6.0,0.3333333333333333,0.05000000000000001,2.5500000000000003,0.18804400458622583,0.5
all_twelve,tuna_retrained,exclude_prior_train_development_P_and_homomers,background,12,33,1850,0.725787037037037,0.09717737900806918,0.1440340909090909,21.083333333333332,3.0,3.0,0.08333333333333333,0.05000000000000001,2.5500000000000003,0.055948839376942006,0.25,7.0,7.0,0.19444444444444442,0.05833333333333333,2.975,0.10918118166218556,0.5833333333333334,17.0,9.0,0.4722222222222221,0.07083333333333335,3.6124999999999994,0.20670862159867245,0.75
original_six,ipin_baseline,all_P,all_U,6,19,1900,0.6408333333333333,0.057883266197629714,0.10372154993620036,31.166666666666668,1.0,1.0,0.05555555555555555,0.03333333333333333,3.3666666666666667,0.03910656050189637,0.16666666666666666,2.0,2.0,0.1111111111111111,0.03333333333333333,3.3666666666666667,0.06517760083649395,0.3333333333333333,5.0,4.0,0.2638888888888889,0.041666666666666664,4.208333333333333,0.12076514332433828,0.6666666666666666
original_six,ipin_optimized,all_P,all_U,6,19,1900,0.6802777777777779,0.06037805047960775,0.07787021555220242,41.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.16666666666666666,0.05000000000000001,5.05,0.07747561163893613,0.3333333333333333,6.0,4.0,0.3194444444444444,0.049999999999999996,5.05,0.13323565656102174,0.6666666666666666
original_six,tuna_retrained,all_P,all_U,6,19,1900,0.7431018518518518,0.09473130221045627,0.24752158173210806,27.5,2.0,2.0,0.09722222222222221,0.06666666666666667,6.733333333333333,0.10416990216724664,0.3333333333333333,2.0,2.0,0.09722222222222221,0.03333333333333333,3.3666666666666667,0.10416990216724664,0.3333333333333333,4.0,4.0,0.2083333333333333,0.03333333333333333,3.3666666666666667,0.14038876870406125,0.6666666666666666
original_six,ipin_baseline,all_P,context,6,19,950,0.6066666666666668,0.1304146139333592,0.2618536368536369,17.833333333333332,2.0,2.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.11731968150568911,0.3333333333333333,4.0,3.0,0.2222222222222222,0.06666666666666667,3.4000000000000004,0.16693521731692484,0.5,6.0,4.0,0.3194444444444444,0.049999999999999996,2.5500000000000003,0.2045667136187491,0.6666666666666666
original_six,ipin_optimized,all_P,context,6,19,950,0.6512962962962964,0.10494025571540373,0.1386549877403536,21.0,3.0,2.0,0.16666666666666666,0.10000000000000002,5.1000000000000005,0.09762608092307463,0.3333333333333333,6.0,4.0,0.3194444444444444,0.09999999999999999,5.1000000000000005,0.16902009889866418,0.6666666666666666,6.0,4.0,0.3194444444444444,0.049999999999999996,2.5500000000000003,0.16902009889866418,0.6666666666666666
original_six,tuna_retrained,all_P,context,6,19,950,0.7167361111111111,0.16810840728590604,0.3953555386049665,16.0,3.0,3.0,0.15277777777777776,0.10000000000000002,5.1000000000000005,0.17353342809203512,0.5,4.0,4.0,0.2083333333333333,0.06666666666666667,3.4000000000000004,0.1970779235686733,0.6666666666666666,7.0,4.0,0.375,0.05833333333333333,2.975,0.25767067936229265,0.6666666666666666
