cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,ipin_optimized,tuna_retrained,-0.6767036450079242,-2.20890021022277,0.8955792650357871,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,ipin_optimized,ipin_tuna_31k,-0.8922345483359742,-2.4253094974836054,0.6791811292375318,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,first_positive_rank_expected,tuna_retrained,ipin_tuna_31k,-0.21553090332804992,-2.3364407839866552,1.6695145369136029,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,ipin_baseline,ipin_optimized,-1.3136048859861997,-2.464019472617267,-0.18221967241113793,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,ipin_baseline,tuna_retrained,-2.9629100285603904,-4.619980020588256,-1.2929394555022586,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,ipin_baseline,ipin_tuna_31k,-2.0664265303654847,-3.737774148364369,-0.3338601439170768,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,ipin_optimized,tuna_retrained,-1.6493051425741907,-3.2599996144364862,-0.03378461692054204,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,ipin_optimized,ipin_tuna_31k,-0.752821644379285,-2.363697084381922,0.8505478709687012,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,first_positive_rank_expected,tuna_retrained,ipin_tuna_31k,0.8964834981949057,-0.520895694155922,2.329874372733449,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,ipin_baseline,ipin_optimized,0.09033280507131536,0.05416063660611365,0.1289754056852198,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,ipin_baseline,tuna_retrained,0.10459587955625987,0.059997277676951,0.14770968472692814,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,ipin_baseline,ipin_tuna_31k,0.06656101426307448,0.013230108548210384,0.11320836894352768,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,ipin_optimized,tuna_retrained,0.014263074484944516,-0.03148273273273275,0.05376519496921537,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,ipin_optimized,ipin_tuna_31k,-0.023771790808240878,-0.0760672945067355,0.02186915738013839,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_5,tuna_retrained,ipin_tuna_31k,-0.038034865293185394,-0.08061428576131792,3.1565656565198124e-05,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,ipin_baseline,ipin_optimized,0.07045030254226531,0.022187599304025248,0.1188665954350925,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,ipin_baseline,tuna_retrained,0.09769505871199641,0.04003129894453423,0.1551052220458079,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,ipin_baseline,ipin_tuna_31k,0.02136408366627418,-0.04038588875920239,0.0815126373717515,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,ipin_optimized,tuna_retrained,0.0272447561697311,-0.026933905855250222,0.08210766711581025,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,ipin_optimized,ipin_tuna_31k,-0.04908621887599113,-0.10633471689679456,0.007565153159243261,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_5,tuna_retrained,ipin_tuna_31k,-0.07633097504572223,-0.129120699074487,-0.024322386394432426,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,ipin_baseline,ipin_optimized,0.06339144215530906,0.02513442436599515,0.10416836319218241,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_10,ipin_baseline,tuna_retrained,0.08399366085578447,0.028080357435896357,0.140171339563863,277,631
