cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,average_precision,0.43152428535399207,0.3877740776802121,0.47692021933088574,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,average_precision,0.4554441477149509,0.41141094236657655,0.4994991974821453,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,average_precision,0.39504267080308336,0.35258915611096897,0.4385388059156657,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,reciprocal_rank,0.29758676043036464,0.2617096702655065,0.33864555216429165,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,reciprocal_rank,0.3805598307888775,0.3331243601615369,0.4341426085741512,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,reciprocal_rank,0.39450635015948726,0.35116336375612234,0.4422567245250153,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,reciprocal_rank,0.358259919741826,0.32113763759648845,0.4010730289280305,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,reciprocal_rank,0.3386112042447045,0.30102407723175545,0.37758748337676273,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,reciprocal_rank,0.43152428535399207,0.3877740776802121,0.47692021933088574,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,reciprocal_rank,0.4554441477149509,0.41141094236657655,0.4994991974821453,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,reciprocal_rank,0.39504267080308336,0.35258915611096897,0.4385388059156657,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,first_positive_rank_expected,9.75354609929078,8.396581367340508,11.038546409214092,246,564,564,17381
no_exact_any_model_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,first_positive_rank_expected,8.867021276595745,7.486546499477534,10.249699470318454,246,564,564,17381
