dataset,subgroup,variant,reference,K,primary_selected,queries,EF_delta,EF_delta_low,EF_delta_high,Hits_delta,Hits_delta_low,Hits_delta_high,Recall_delta,Recall_delta_low,Recall_delta_high,Known_positive_rate_delta,Known_positive_rate_delta_low,Known_positive_rate_delta_high,Any_hit_delta,Any_hit_delta_low,Any_hit_delta_high
C3_test,all,query_balanced,combo_55_45,20,True,842,-0.42195115338809863,-1.0503691146017775,0.19685611868626987,-0.14014251781472686,-0.19348449447748514,-0.08341700995537238,-0.0106087448344436,-0.02679936100895996,0.004963760048537168,-0.007007125890736279,-0.009674224723874173,-0.004170850497768614,-0.022565320665083155,-0.048520710059171634,0.0025680600856796874
C3_test,all,query_balanced,combo_55_45,30,True,842,-0.5583894101173117,-0.9946132158623043,-0.11691293714177842,-0.23634204275534443,-0.3270980743394536,-0.14540293576446978,-0.0211624596913903,-0.03782973881534312,-0.004118282677374629,-0.007878068091844805,-0.010903269144648464,-0.004846764525482362,-0.024940617577197233,-0.050003387533875385,-0.001194251755261623
C3_test,all,shortlist_weighted,ipin_baseline,10,False,842,4.085754727865011,2.4965305740107673,5.967377892725339,0.10095011876484561,0.04527624376763394,0.15931932165929946,0.05218339989026245,0.03181646137221348,0.07624835858765718,0.010095011876484553,0.004527624376763456,0.01593193216592995,0.05819477434679332,0.02560904707884285,0.09503511852502187
C3_test,all,shortlist_weighted,ipin_baseline,20,False,842,2.1668402638610056,1.3010046595352474,3.155668937989438,0.07719714964370539,0.006275520589647147,0.14875465425531906,0.054968138473420636,0.03300008379423393,0.08027092571006285,0.0038598574821852513,0.00031377602948233187,0.007437732712766011,0.05463182897862234,0.02404312863982095,0.08765482005034252
C3_test,all,shortlist_weighted,ipin_baseline,30,False,842,1.2911237284147914,0.6620583002493576,1.9717875527696886,0.014251781472684133,-0.08871491770001316,0.10273018987543517,0.049271928002780574,0.025241587431021385,0.07504619034521622,0.0004750593824227739,-0.002957163923333765,0.003424339662514475,0.04750593824228028,0.016001343803067895,0.07932443767052648
C3_test,all,shortlist_weighted,ipin_optimized,10,False,842,1.7182543732351956,0.5993129172461007,2.8818936023538733,0.02494061757719712,-0.017381148723869217,0.06775620574642344,0.02188229772422648,0.007904098740014567,0.03667684867981076,0.002494061757719726,-0.0017381148723869771,0.006775620574642375,0.030878859857482177,0.00615631973390596,0.05583158776707161
C3_test,all,shortlist_weighted,ipin_optimized,20,False,842,0.8304627599013283,0.11638229357646142,1.506595168481033,-0.028503562945368266,-0.08345126854620341,0.02653684782670723,0.02095317277642625,0.002873716693156314,0.03821719303030959,-0.0014251781472683633,-0.0041725634273101445,0.0013268423913353397,0.02494061757719712,-0.002146387232224184,0.05140400778459761
C3_test,all,shortlist_weighted,ipin_optimized,30,False,842,0.3339178000387433,-0.091192361783632,0.808511300578033,-0.12232779097387181,-0.20447396346806873,-0.04555842852732333,0.012911404213744981,-0.003325101113599638,0.030990330287873565,-0.004077593032462357,-0.0068157987822690235,-0.0015186142842440685,0.01187648456057,-0.013937834945789629,0.037615436792197754
C3_test,all,shortlist_weighted,tuna_retrained,10,False,842,-0.06685132277797301,-2.0562677949922255,1.6575299929354654,-0.039192399049881255,-0.10825380535055348,0.029345823389021402,-0.0006550050098941829,-0.025919047455289286,0.021236647162790882,-0.003919239904988089,-0.0108253805350553,0.002934582338902123,0.001187648456057011,-0.03167650796023619,0.033479733263598266
C3_test,all,shortlist_weighted,tuna_retrained,20,False,842,-0.5980347692962535,-1.6756668841789037,0.3569682549579667,-0.15083135391923985,-0.23821234099006214,-0.06574176016217541,-0.015108539729316778,-0.04244757555837851,0.009603157001468767,-0.007541567695961926,-0.011910617049503056,-0.0032870880081088054,-0.021377672209026144,-0.057672953091330484,0.012957184158597564
