species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,23,0,27
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,11,32,7
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,20,0,30
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,9,36,5
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,14,33,3
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,1,23
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,30,8
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,31,7
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,29,0,21
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,16,27,7
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,22,1,27
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,29,9
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,19,0,31
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,11,28,11
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,25,1,24
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,15,28,7
fly,all,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,29,0,21
fly,all,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,31,0,19
fly,all,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,14,31,5
fly,all,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,all,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,30,0,20
fly,all,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,24,12
fly,all,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,all,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,27,0,23
fly,all,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
fly,all,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,1,23
fly,all,background,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
fly,all,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,22,19,9
fly,all,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,31,0,19
fly,all,background,ipin_optimized,ipin_tuna_31k,average_precision,50,28,0,22
fly,all,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,16,18,16
fly,all,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
fly,all,background,tuna_retrained,ipin_tuna_31k,average_precision,50,28,0,22
fly,all,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,13,29,8
fly,all,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
