target,positive_subset,candidate_set,P,U,evaluated
CTNNB1,exclude_any_model_prior_pairs,background,2,145,True
CTNNB1,exclude_any_model_prior_pairs,low_plausibility,2,150,True
CTNNB1,exclude_any_model_prior_pairs,context_background,2,289,True
CTNNB1,exclude_any_model_prior_pairs,all_U,2,439,True
CTNNB1,exclude_any_model_prior_pairs_and_homomers,context,2,144,True
CTNNB1,exclude_any_model_prior_pairs_and_homomers,background,2,145,True
CTNNB1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,2,150,True
CTNNB1,exclude_any_model_prior_pairs_and_homomers,context_background,2,289,True
CTNNB1,exclude_any_model_prior_pairs_and_homomers,all_U,2,439,True
CTNNB1,exclude_all_five_prior_pairs,context,2,144,True
CTNNB1,exclude_all_five_prior_pairs,background,2,145,True
CTNNB1,exclude_all_five_prior_pairs,low_plausibility,2,150,True
CTNNB1,exclude_all_five_prior_pairs,context_background,2,289,True
CTNNB1,exclude_all_five_prior_pairs,all_U,2,439,True
CTNNB1,exclude_all_five_prior_pairs_and_homomers,context,2,144,True
CTNNB1,exclude_all_five_prior_pairs_and_homomers,background,2,145,True
CTNNB1,exclude_all_five_prior_pairs_and_homomers,low_plausibility,2,150,True
CTNNB1,exclude_all_five_prior_pairs_and_homomers,context_background,2,289,True
CTNNB1,exclude_all_five_prior_pairs_and_homomers,all_U,2,439,True
TNFRSF1A,all_P,context,3,150,True
TNFRSF1A,all_P,background,3,150,True
TNFRSF1A,all_P,low_plausibility,3,150,True
TNFRSF1A,all_P,context_background,3,300,True
TNFRSF1A,all_P,all_U,3,450,True
TNFRSF1A,exclude_development_P,context,3,150,True
TNFRSF1A,exclude_development_P,background,3,150,True
TNFRSF1A,exclude_development_P,low_plausibility,3,150,True
TNFRSF1A,exclude_development_P,context_background,3,300,True
TNFRSF1A,exclude_development_P,all_U,3,450,True
TNFRSF1A,exclude_development_P_and_homomers,context,3,150,True
TNFRSF1A,exclude_development_P_and_homomers,background,3,150,True
TNFRSF1A,exclude_development_P_and_homomers,low_plausibility,3,150,True
TNFRSF1A,exclude_development_P_and_homomers,context_background,3,300,True
TNFRSF1A,exclude_development_P_and_homomers,all_U,3,450,True
TNFRSF1A,exclude_prior_train_development_P,context,3,150,True
TNFRSF1A,exclude_prior_train_development_P,background,3,150,True
TNFRSF1A,exclude_prior_train_development_P,low_plausibility,3,150,True
TNFRSF1A,exclude_prior_train_development_P,context_background,3,300,True
