row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
213,-5.381152153015137,-7.244021415710449,-6.243556499481201,-6.289576689402263
214,-0.23045293986797333,-0.7920122146606445,-0.8529287576675415,-0.6251313040653864
215,-4.790757656097412,-5.680464744567871,-5.189657211303711,-5.220293203989665
216,-4.555754661560059,-6.188369274139404,-6.044447422027588,-5.596190452575684
217,-3.6838884353637695,-3.4458816051483154,-3.6212332248687744,-3.583667755126953
218,-5.798225402832031,-6.725546836853027,-7.294519424438477,-6.606097221374512
219,-5.080618381500244,-5.590617656707764,-4.961680889129639,-5.210972309112549
220,-7.13664436340332,-6.088747024536133,-4.910178184509277,-6.04518985748291
221,-5.734640598297119,-4.558385372161865,-5.4004130363464355,-5.231146335601807
222,-2.357213258743286,-2.688119649887085,-1.5960242748260498,-2.213785727818807
223,-4.244945049285889,-3.59964919090271,-3.3553645610809326,-3.7333196004231772
224,-4.713741779327393,-5.7813873291015625,-4.660373687744141,-5.051834265391032
225,-3.718520402908325,-3.3806097507476807,-3.324063539505005,-3.474397897720337
226,-3.7654683589935303,-4.4662699699401855,-3.4380362033843994,-3.8899248441060386
227,-4.7471818923950195,-5.343964576721191,-3.040728807449341,-4.377291758855184
228,-7.418144226074219,-7.09501314163208,-6.045770168304443,-6.852975845336914
229,-4.054080486297607,-5.66404914855957,-4.673511505126953,-4.797213713328044
230,-4.892447471618652,-4.987442493438721,-5.575642108917236,-5.151844024658203
231,-4.491046905517578,-5.616116523742676,-4.169000625610352,-4.758721351623535
232,-4.919839859008789,-5.41391658782959,-4.205288887023926,-4.8463484446207685
233,-5.136742115020752,-5.713296413421631,-5.828307628631592,-5.559448719024658
234,-4.497835159301758,-4.589580535888672,-4.183005332946777,-4.423473676045735
235,-4.400390148162842,-5.62103271484375,-7.132354259490967,-5.7179257074991865
236,-3.9626758098602295,-2.8418219089508057,-4.222203731536865,-3.675567150115967
237,-4.54534387588501,-5.4076313972473145,-4.729005336761475,-4.893993536631267
238,-4.2174835205078125,-6.28031063079834,-5.20898962020874,-5.235594590504964
239,-7.145552635192871,-6.176834583282471,-6.350984573364258,-6.557790597279866
240,-5.748858451843262,-3.4039957523345947,-3.3346312046051025,-4.162495136260986
241,-4.394989490509033,-5.559579372406006,-5.638090133666992,-5.197552998860677
242,-4.745782852172852,-4.6676716804504395,-5.867740154266357,-5.09373156229655
243,-5.5218095779418945,-6.095638275146484,-7.202328205108643,-6.273258686065674
244,-6.862853050231934,-4.9012579917907715,-3.626948118209839,-5.130353053410848
245,-6.799466133117676,-6.587741374969482,-5.706022262573242,-6.364409923553467
246,-7.2852301597595215,-7.034371852874756,-6.601014137268066,-6.973538716634114
247,-5.200616836547852,-4.621927261352539,-5.137101650238037,-4.9865485827128095
248,-6.015501499176025,-5.574378490447998,-4.979654788970947,-5.523178259531657
249,-6.569154739379883,-7.502236843109131,-5.595803737640381,-6.555731773376465
250,-5.737162113189697,-5.673033714294434,-5.757778644561768,-5.722658157348633
251,-4.374174118041992,-5.12978458404541,-5.340666770935059,-4.948208491007487
252,-3.9399261474609375,-2.691558599472046,-2.989292621612549,-3.2069257895151773
253,-4.841980934143066,-5.543005466461182,-3.747304916381836,-4.710763772328694
254,-4.2008185386657715,-6.420263767242432,-6.299350261688232,-5.6401441891988116
255,-4.630593299865723,-6.211052417755127,-6.215146541595459,-5.6855974197387695
256,-5.321814060211182,-7.279355525970459,-6.088003158569336,-6.229724248250325
257,-7.128962993621826,-5.969496726989746,-4.512290000915527,-5.8702499071757
258,-4.878517150878906,-4.343425273895264,-4.289532661437988,-4.503825028737386
259,-4.560260772705078,-2.91424298286438,-3.0407016277313232,-3.5050684611002603
260,-4.547704696655273,-5.107209205627441,-4.1996917724609375,-4.618201891581218
261,-6.007883548736572,-6.315146446228027,-4.9742021560668945,-5.765744050343831
262,-5.063084602355957,-4.188370704650879,-3.535428524017334,-4.26229461034139
263,-2.8454532623291016,-2.1941709518432617,-2.278803586959839,-2.439475933710734
264,-5.071728706359863,-4.94354772567749,-5.265827178955078,-5.093701203664144
265,-5.496953964233398,-6.242832660675049,-5.578202247619629,-5.772662957509358
266,-5.176314830780029,-5.864290714263916,-6.225960731506348,-5.755522092183431
267,-6.684137344360352,-6.821516036987305,-6.085684776306152,-6.5304460525512695
268,-7.528284072875977,-7.995235919952393,-6.793846607208252,-7.439122200012207
269,-3.5899271965026855,-5.526915073394775,-3.8641598224639893,-4.327000697453816
270,-4.838271141052246,-5.596089839935303,-7.277042865753174,-5.903801282246907
271,-4.380557060241699,-4.029202461242676,-5.461385250091553,-4.623714923858643
272,-6.009463310241699,-5.629042625427246,-5.690208435058594,-5.776238123575847
273,-6.955982685089111,-5.189319610595703,-3.946798324584961,-5.364033540089925
274,-6.178819179534912,-4.999081134796143,-3.586575984954834,-4.921492099761963
275,-6.69769287109375,-7.145866394042969,-8.967466354370117,-7.603675206502278
276,-5.882272720336914,-7.230676651000977,-5.510476589202881,-6.207808653513591
277,-6.262545585632324,-6.06936502456665,-5.4341816902160645,-5.922030766805013
278,-6.584359645843506,-6.852633953094482,-5.99854850769043,-6.478514035542806
279,-3.8125720024108887,-5.336094379425049,-4.49873161315918,-4.549132664998372
280,-3.839132308959961,-5.672239303588867,-5.890499114990234,-5.1339569091796875
281,-4.163614749908447,-4.098893642425537,-5.183899402618408,-4.482135931650798
282,-4.221874237060547,-5.026847839355469,-3.1114001274108887,-4.120040734608968
283,-4.972494602203369,-6.497851371765137,-4.483712196350098,-5.318019390106201
284,-6.933665752410889,-6.473423004150391,-8.025388717651367,-7.144159158070882
285,-5.063966751098633,-6.235437393188477,-4.499767303466797,-5.266390482584636
286,-6.891229152679443,-9.073651313781738,-6.802645683288574,-7.589175383249919
287,-3.670322895050049,-3.481740951538086,-3.7250008583068848,-3.6256882349650064
288,-7.537794589996338,-5.488004684448242,-5.80894660949707,-6.27824862798055
289,-4.579676151275635,-3.6116480827331543,-4.668602466583252,-4.286642233530681
290,-5.32582426071167,-6.305017471313477,-6.047556400299072,-5.892799377441406
291,-3.843430757522583,-4.9563751220703125,-5.278454303741455,-4.692753394444783
292,-5.213700771331787,-5.944950580596924,-5.844978332519531,-5.667876561482747
293,-4.168620586395264,-6.974942207336426,-4.865843772888184,-5.336468855539958
294,-2.77838134765625,-3.4348671436309814,-3.761376142501831,-3.3248748779296875
295,-1.488771677017212,-1.7529480457305908,-1.185875654220581,-1.475865125656128
296,-5.870304584503174,-4.437052249908447,-4.604069232940674,-4.970475355784099
